lesson_unit_id,stage,stage_name,lesson_unit_name,approx_start,approx_end,weeks,overlap_type,division_context,objective_8175,objective_8177,competency_ids_8175,competency_ids_8177,key_vocabulary,prior_lesson_connection,warmup_anchor
S0-U1,0,Foundation: You as a Professional,Personal Qualities & Professional Competencies,2026-08-25,2026-09-04,1–2,Identical,All divisions — professional baseline before any role assignment,"Students can demonstrate the personal qualities, interpersonal skills, and professional competencies expected of workers in the sports, entertainment, and event industries.",Same — competencies 1–22 are identical across both courses.,"8175-1,8175-2,8175-3,8175-4,8175-5,8175-6,8175-7,8175-8,8175-9,8175-10,8175-11,8175-12,8175-13,8175-14,8175-15,8175-16,8175-17,8175-18,8175-19,8175-20,8175-21,8175-22","8177-1,8177-2,8177-3,8177-4,8177-5,8177-6,8177-7,8177-8,8177-9,8177-10,8177-11,8177-12,8177-13,8177-14,8177-15,8177-16,8177-17,8177-18,8177-19,8177-20,8177-21,8177-22","work ethic, professionalism, information literacy, big-picture thinking, SCR rating",None — first unit. Students reflect on professional experiences from outside school.,"Think about someone you've worked with — in school, at a job, on a team — who made the group better just by how they showed up. What did they do that others didn't?"
S0-U2,0,Foundation: You as a Professional,Examining All Aspects of an Industry,2026-09-08,2026-09-18,3–4,Identical,All divisions — framing the conglomerate structure,"Students can examine the planning, management, financial, technical, technology, labor, community, and health/safety dimensions of the sports, entertainment, and event industry.",Same — competencies 23–30 are identical across both courses.,"8175-23,8175-24,8175-25,8175-26,8175-27,8175-28,8175-29,8175-30","8177-23,8177-24,8177-25,8177-26,8177-27,8177-28,8177-29,8177-30","industry dimensions, vertical integration, conglomerate, organizational chart, labor relations",S0-U1: Students established professional standards. Now they map those standards to the eight industry dimensions — what does work ethic look like specifically in sports and entertainment?,Pick one major sports or entertainment organization. What departments or functions do you think exist inside that organization that fans never see?
S0-U3,0,Foundation: You as a Professional,Student Organization & Work-Based Learning,2026-09-18,2026-09-25,4–5,Identical,All divisions — WBL intake and role assignment,"Students can explain DECA's purposes and structure, demonstrate leadership through participation, and identify the WBL opportunities available in this program.",Same — competencies 31–38 are identical across both courses.,"8175-31,8175-32,8175-33,8175-34,8175-35,8175-36,8175-37,8175-38","8177-31,8177-32,8177-33,8177-34,8177-35,8177-36,8177-37,8177-38","DECA, work-based learning, role charter, acceptable use, cooperative education",S0-U2: Students mapped the industry's eight dimensions. Now they connect that map to their specific WBL role — which dimension does each division own?,What's the difference between doing a school project and doing real work? What makes something feel real?
S1-U1,1,Industry / Producer,Industry Overview & Career Landscape,2026-09-25,2026-10-09,5–7,Parallel,Esports Division + all divisions — industry orientation before specialization,"Students can explain the importance, history, trends, and hospitality dimensions of the sports, entertainment, and event industries.","Students can define the role of the sports/entertainment/event manager, identify management traits, evaluate career opportunities, and analyze emerging events.","8175-44,8175-45,8175-46,8175-47","8177-39,8177-40,8177-41,8177-42,8177-43,8177-44,8177-45,8177-46,8177-47,8177-48","sports entertainment events industry, hospitality, experience economy, esports, niche event, stakeholder",S0-U3: Students have WBL roles assigned. Now they see the real industry their roles mirror — what do professional counterparts to their division roles actually do?,"Name an organization in sports, entertainment, or events that didn't exist ten years ago. What made space for it?"
S1-U2,1,Industry / Producer,Business Structure & Organization,2026-10-09,2026-10-23,7–9,Parallel,All divisions — formal org chart and conglomerate structure decision,Students can explain what a business is in the sports/entertainment context and compare different types of business ownership.,Students can explore organizational structures within the industry and explain for-profit vs. nonprofit operation.,"8175-68,8175-69","8177-52,8177-53","business ownership type, organizational structure, for-profit, nonprofit, division","S1-U1: Students identified who the players are in this industry. Now they examine how those players are structured — what type of organization are they, and who controls what?",Is the NFL a business? Is your school a business? Is a local youth sports league a business? What's the difference — and does the difference matter for how they operate?
S1-U3,1,Industry / Producer,Entrepreneurship & Business Launch,2026-10-23,2026-11-06,9–11,8177 only,"All divisions — BMC exercise; 8177 leads, 8175 contributes customer/channel sections",No formal competency requirement — 8175 students contribute customer segment and value proposition sections of the BMC.,"Students can identify entrepreneurship opportunities, describe the entrepreneurial mindset, map a business using the Business Model Canvas, and explain how small businesses drive economic growth.",,"8177-54,8177-55,8177-56,8177-57","entrepreneurship, entrepreneurial mindset, Business Model Canvas, value proposition, revenue stream, cost structure","S1-U2: Students established the conglomerate's legal and structural type. Now they map its entire business model — who does it serve, what does it offer, how does it make money?","Has anyone in this room ever sold something — a service, a product, anything? What did you have to figure out before you could make the first sale?"
S2-U1,2,Product,"Branding, Licensing & Legal Foundations",2026-11-06,2026-11-20,11–13,Parallel,Creative Studio (primary) — brand identity guide begins here,"Students can explain branding, describe branding in sports/entertainment, explain product licensing and brand protection, and describe the rebranding process.","Students can identify ethical issues, investigate social/environmental concerns, explain licensing purposes, and describe how legal requirements shape operations.","8175-56,8175-57,8175-58,8175-59","8177-63,8177-64,8177-69,8177-70,8177-71,8177-72,8177-73,8177-75,8177-76","brand, trademark, licensing, brand protection, rebranding, ADA, trade dress",S1-U3: The BMC defined the conglomerate's value proposition. Now students build the identity that expresses that proposition — the brand IS the product in this industry.,"Think of a brand that has been through a major rebrand — a team that changed its name, a company that updated its logo. Did it work? How do you know?"
S2-U2,2,Product,Product Development & Market Positioning,2026-11-20,2026-12-04,13–15,8175 only,Creative Studio + Apparel & Merch Co. + School Store — first product catalog,"Students can explain product/service planning, the product life cycle, market research role, primary research survey design, product positioning, and uncontrollable factors.",Task 74 contextual — external factors. 8177 students contribute as stakeholders reviewing product catalog feasibility.,"8175-60,8175-61,8175-62,8175-63,8175-64,8175-65",8177-74,"product life cycle, product positioning, primary research, SKU, uncontrollable factors, market research",S2-U1: The brand identity is being built. Now students decide what the brand actually makes and sells — the product catalog must match the brand's identity and positioning.,A local sports team adds a new jersey to its merchandise line. It sells out immediately. Six months later a competing product from a national brand arrives at the same price. What does the team do next?
S3-U1,3,Market Conditions,"Economics of Sports, Entertainment & Events",2026-12-04,2026-12-18,15–17,Parallel,Wholesale & Sourcing Manager (primary) — first purchase order context,"Students can explain economic concepts, how the business cycle affects the industry, supply and demand, and competition in the sports/entertainment marketplace.","Students can analyze U.S. economic indicators, examine how sports/events affect local economies, and identify global cultural and political economic factors.","8175-98,8175-99,8175-100,8175-101","8177-49,8177-50,8177-51","supply and demand, business cycle, opportunity cost, economic indicator, direct competition, economic impact, consumer confidence","S2-U2: The product catalog is drafted. Before the Wholesale Manager can place the first purchase order, students need to understand the economic environment that determines whether that investment makes sense now.","A major esports tournament gets cancelled due to an economic downturn — sponsors pull out, ticket sales collapse, streaming deal falls through. Walk backwards: what economic force triggered each failure, and in what order?"
S3-U2,3,Market Conditions,Market Research,2027-01-05,2027-01-22,18–20 (post-break),Complementary,Marketing Advisor rotation leads — research handed to Wholesale Manager and League Manager,"Students can describe the role of market research, create a primary research survey, and explain research's importance in developing a marketing plan.","Students can explain market research applications, identify data sources, develop a market segmentation analysis, design a full research project, and evaluate results.","8175-62,8175-63,8175-103","8177-77,8177-78,8177-79,8177-80,8177-81,8177-82,8177-83,8177-84","market research, market segmentation, primary research, secondary research, price sensitivity, data triangulation, recommendation",S3-U1: Students understand the economic environment. Now they gather specific audience intelligence. The Stage 2 survey data returns here for formal analysis.,The survey from Stage 2 is back. Look at the results. What surprised you? What confirmed what you suspected? What question do you wish you had asked — and why does that missing answer matter?
S4-U1,4,Price,Pricing Strategies & Revenue,2027-01-25,2027-02-05,21–22,Complementary,School Store + Apparel & Merch Co. + Wholesale Manager — first price tags set,"Students can explain pricing factors and identify pricing strategies used in the sports, entertainment, and event industries.","Students can identify budget components, identify revenue sources and expenditures, and analyze financial statements.","8175-66,8175-67","8177-85,8177-86,8177-87,8177-88","COGS, gross margin, cost-plus pricing, value-based pricing, break-even point, fixed cost, variable cost, revenue stream, income statement",S3-U2: Market research gave us price sensitivity data. The Wholesale Manager has cost-of-goods from the first purchase order. Now those two inputs converge into a price tag for every SKU.,The school store is about to price its first jersey run. Blank garment cost $8. Sublimation adds $3. Design took two hours. Shipping was $1.50/unit. Students would pay up to $28 before demand dropped. What do you charge — and what does that decision tell you about this business?
S5-U1,5,Rules of the Chain,"Ethics, Media & Social Responsibility",2027-02-08,2027-02-19,23–24,Parallel,Media & PR (primary) — social media policy before channels go live,Students can identify ethical/unethical business practices and analyze the effects of negative media on a sports/entertainment/event organization.,"Students can identify ethical issues, investigate social/environmental concerns, examine media bias effects on public perception, and describe community value of the industry.","8175-51,8175-86","8177-63,8177-64,8177-65,8177-66","business ethics, reputational risk, media bias, social responsibility, escalation path, code of conduct, transparency","S4-U1: Pricing is set. Before the store opens and channels go live, students need the ethical framework governing every public-facing decision. Last unit before the conglomerate becomes visible to the school community.","A student in Media & PR posts something on the conglomerate's social media that generates immediate backlash. It wasn't illegal. It wasn't meant to offend. But it did. Who decides what the response is, what it says, and what changes afterward?"
S5-U2,5,Rules of the Chain,Customer Service Skills,2027-02-19,2027-03-05,25–26,Parallel,School Store + Events Division — store opens during this unit,"Students can explain customer service importance, compare types of customer interaction, translate technical language for customers, and describe complaint handling procedures.","Students can demonstrate customer service techniques, describe retention methods, respond to inquiries/feedback, explain company policy, and explain the value of constructive feedback.","8175-52,8175-53,8175-54,8175-55","8177-58,8177-59,8177-60,8177-61,8177-62","customer touchpoint, complaint resolution, customer retention, internal customer, constructive feedback, service standard, escalation",S5-U1: The ethical framework is in place. Now students learn how it applies in every customer interaction — the store is opening and every student in a customer-facing role needs scripts before the first interaction.,"You're working the school store when a student comes in angry about a jersey with the wrong name on it. They're loud. Other students are watching. You didn't make the error — the Production Manager did. What do you say, what do you do, and what happens after they leave?"
S6-U1,6,Place / Distribution,Digital Media & E-Commerce,2027-03-05,2027-03-19,27–28,Complementary,Media & PR + School Store + Esports Division — digital infrastructure build,"Students can define current electronic marketing tools, identify methods for attracting/retaining customers digitally, identify target markets' preferred platforms, compare traditional and digital marketing, and explain digital revenue generation.","Students can identify how e-commerce and digital transactions affect sports, entertainment, and event businesses.","8175-78,8175-79,8175-80,8175-81,8175-82",8177-47,"distribution channel, content calendar, conversion, engagement, e-commerce, streaming, Discord","S5-U2: Customer service standards are in place. Now students build the digital infrastructure those standards will govern — social channels, streaming setup, order intake forms. Platform strategy built from Stage 3 market research, not personal preference.",The school store has no online presence. A student who wants a custom jersey has to find you in person. A parent who wants a staff shirt has no idea the program exists. Map every friction point in that customer journey — then describe what a basic digital presence would eliminate.
S6-U2,6,Place / Distribution,"Safety, Security & Risk Management",2027-03-19,2027-03-25,28–29,Complementary,Events Division + Esports Division — emergency plan submitted to admin before first match,"Students deepen Task 22 (workplace safety) in the context of event venues, equipment operation, and live event environments.","Students can examine risk assessment and management strategies, examine uncontrollable variable challenges, explain security types, explain venue/event security needs, and explain emergency preparedness plans.",8175-22,"8177-67,8177-68,8177-89,8177-90,8177-91","risk assessment, risk register, incident commander, contingency plan, life safety, tabletop exercise, risk matrix",S6-U1: The digital distribution infrastructure is live. Now students secure the physical distribution node — the venue. The emergency plan must be submitted to administration before the first home match can be cleared to proceed.,"You're running the first home esports match. Forty students are watching. One competitor has a medical emergency mid-match. Another student near the exit is acting aggressively. The streaming computer goes down. Rank these three by urgency and walk through your response — who does what, in what order, who gets told?"
S7-U1,7,Promotion,"Promotion, Sponsorship & Endorsements",2027-04-05,2027-04-23,30–33,8175 only,Media & PR + Creative Studio + Events Division + Esports Division — live campaign for first match,"Students can explain the promotional mix, identify roles of advertising/publicity/sales promotion/direct marketing/personal selling, describe advertising elements, explain PR and PR tools, explain sponsorship and endorsements with legal restrictions, and describe promotional campaign elements.",No formal competency requirement — 8177 students participate as campaign commissioners and stakeholder representatives.,"8175-72,8175-73,8175-74,8175-75,8175-76,8175-77,8175-83,8175-84,8175-85,8175-87,8175-88,8175-89,8175-90,8175-91,8175-92,8175-93",,"promotional mix, campaign brief, public relations, sponsorship, endorsement, sales promotion, stakeholder, promotional campaign","S6-U2: The safety plan is approved and the first match is cleared. Now students have three weeks to fill the seats. Everything built since Stage 2 — the brand, the product, the digital channels — is the infrastructure this campaign runs on.","The first home esports match is three weeks away. You have six computers, a large format printer, a social media account with 47 followers, and zero budget for paid advertising. The goal is 80 student spectators. Build the promotional plan in five minutes — what do you do first, second, third, and why?"
S7-U2,7,Promotion,Sales Process & On-Site Merchandising,2027-04-23,2027-04-30,33–34,Complementary,School Store + Sales & Customer Experience rotation — merchandise table at first match,"Students can explain types of selling, product/service bundling, the selling process steps, and on-site merchandising and concessions.","Students can explain on-site revenue streams as they relate to sports, entertainment, and event facilities.","8175-94,8175-95,8175-96,8175-97",8177-46,"selling process, upselling, bundling, on-site merchandising, revenue stream, average transaction value, post-event reconciliation",S7-U1: The campaign is running and the audience is coming. Now students set up the merchandise table and learn how to sell to the audience they just promoted to. The match is the deadline.,"You're running the merchandise table at the first home esports match. You have jerseys ($26), lanyards ($8), and a bundle offer (both for $30). In the first ten minutes, twelve people walk past without stopping. What do you change — your setup, your approach, your offer, or all three?"
S8-U1,8,Strategy / Synthesis,Marketing Plan & Strategy,2027-05-03,2027-05-21,35–38,Parallel,All divisions — marketing plan assembles every prior stage deliverable,"Students can explain marketing plan components, describe research's importance in plan development, describe how to analyze ROI, and identify SWOT analysis components.",Students can develop a marketing plan for an event — applying the full planning framework to a real upcoming event.,"8175-102,8175-103,8175-104,8175-105",8177-97,"marketing plan, situation analysis, SWOT analysis, ROI, marketing objective, executive summary, implementation timeline",S7-U2: The first match executed — every stage of the curriculum ran simultaneously. The marketing plan assembles what happened into a coherent document. Students are not building from scratch; they are organizing what they already built.,Every document you've produced this year is a section of the marketing plan. The industry map is the situation analysis. The market research is the market analysis. The pricing worksheet is the pricing strategy. What's missing — and what does having it all in one place tell you that you couldn't see when it was scattered?
S8-U2,8,Strategy / Synthesis,Event Planning & Management,2027-04-12,2027-05-14,"31–37 (parallel, 8177 primary)",8177 only,Events Division + Esports Division — second home match and season evaluation,No formal competency requirement — 8175 rotation students operate in division roles during event execution.,"Students can explain the event planning process, describe consumer motivation factors, explain popularity/competitive factors on attendance, analyze personnel needs, analyze financial resources, develop an event marketing plan and budget, develop post-event recognition, manage a live event, and evaluate overall success.",,"8177-92,8177-93,8177-94,8177-95,8177-96,8177-97,8177-98,8177-99,8177-100,8177-101","run-of-show, personnel plan, event P&L, consumer motivation, post-event evaluation, competitive calendar, recognition protocol","S7-U1/U2: The first match happened. You have real data — attendance, revenue, what went wrong. The second match is planned using that evidence.","The first home match happened. You have the attendance number, the revenue figure, the social reach data, and a list of three things that went wrong. The second match is six weeks away. Same budget, same team, same venue. What changes — and how do you decide what to prioritize?"
