lesson_unit_id,stage,stage_name,lesson_unit_name,approx_start,approx_end,weeks,overlap_type,division_context,objective_8175,objective_8177,competency_ids_8175,competency_ids_8177,key_vocabulary,prior_lesson_connection,warmup_anchor,chain_node,esports_connection,vocabulary_with_definitions,studio_flow_hooks
S0-U1,0,Stage 0,Personal Qualities & Professional Competencies,2026-08-25,2026-09-04,1–2,Identical,All divisions — professional baseline before any role assignment,"Students can demonstrate the personal qualities, interpersonal skills, and professional competencies expected of workers in the sports, entertainment, and event industries.",Same — competencies 1–22 are identical across both courses.,"8175-1,8175-2,8175-3,8175-4,8175-5,8175-6,8175-7,8175-8,8175-9,8175-10,8175-11,8175-12,8175-13,8175-14,8175-15,8175-16,8175-17,8175-18,8175-19,8175-20,8175-21,8175-22","8177-1,8177-2,8177-3,8177-4,8177-5,8177-6,8177-7,8177-8,8177-9,8177-10,8177-11,8177-12,8177-13,8177-14,8177-15,8177-16,8177-17,8177-18,8177-19,8177-20,8177-21,8177-22","Distribution chain node, What students do, Role context, Work ethic, Professionalism, Information literacy, Big-picture thinking, SCR rating",Every subsequent unit and every division role builds on this foundation. The General Manager role in particular requires students to model these for peers.,"Think about someone you've worked with — in school, at a job, on a team — who made the group better just by how they showed up. What did they do that others didn't?",,All six divisions — this is the baseline,"[{""term"": ""Distribution chain node"", ""definition"": ""You as a Professional""}, {""term"": ""What students do"", ""definition"": ""Students reflect on and document their professional behaviors through journal entries, peer feedback, and role charter language. Each student's WBL role description references these competencies explicitly.""}, {""term"": ""Role context"", ""definition"": ""All students, both courses, before division assignments are made. This is the first shared work product of the year.""}, {""term"": ""Work ethic"", ""definition"": ""Consistent effort, reliability, and commitment to quality in professional settings""}, {""term"": ""Professionalism"", ""definition"": ""Conduct, behavior, and attitude that meet the standards expected in a workplace""}, {""term"": ""Information literacy"", ""definition"": ""The ability to find, evaluate, and use information effectively and responsibly""}, {""term"": ""Big-picture thinking"", ""definition"": ""Understanding how individual actions and roles connect to larger organizational goals""}, {""term"": ""SCR rating"", ""definition"": ""Student Competency Record \u2014 the 1\u20135 scale used to evaluate performance on each competency (1 = can teach others, 5 = cannot perform)""}]",{}
S0-U2,0,Stage 0,Examining All Aspects of an Industry,2026-09-08,2026-09-18,3–4,Identical,All divisions — framing the conglomerate structure,"Students can examine the planning, management, financial, technical, technology, labor, community, and health/safety dimensions of the sports, entertainment, and event industry.",Same — competencies 23–30 are identical across both courses.,"8175-23,8175-24,8175-25,8175-26,8175-27,8175-28,8175-29,8175-30","8177-23,8177-24,8177-25,8177-26,8177-27,8177-28,8177-29,8177-30","Distribution chain node, What students do, Role context, Industry dimensions, Vertical integration, Conglomerate, Org chart, Labor relations",Directly feeds the role charter documents that 8177 Management students will write. Also establishes the vocabulary for cross-divisional communication.,"Pick one major sports or entertainment organization — a team, a venue, a festival, an esports org. What departments or functions do you think exist inside that organization that fans never see?",,All divisions — framing exercise before specialization,"[{""term"": ""Distribution chain node"", ""definition"": ""You as a Professional""}, {""term"": ""What students do"", ""definition"": ""Students map all eight industry dimensions onto the conglomerate structure. Which division owns planning? Finance? Community? This becomes the initial org chart.""}, {""term"": ""Role context"", ""definition"": ""All students contribute. 8177 students lead the mapping exercise as part of their management orientation.""}, {""term"": ""Industry dimensions"", ""definition"": ""The eight functional areas present in any industry: planning, management, finance, technical/production, technology, labor, community, and health/safety""}, {""term"": ""Vertical integration"", ""definition"": ""A business structure where one organization controls multiple stages of a supply chain \u2014 design, production, distribution, and retail""}, {""term"": ""Conglomerate"", ""definition"": ""A parent organization that owns and oversees multiple distinct business units or divisions""}, {""term"": ""Org chart"", ""definition"": ""A diagram showing the structure of an organization \u2014 who reports to whom and how divisions relate""}, {""term"": ""Labor relations"", ""definition"": ""The relationship between an organization and its workforce, including roles, expectations, and working conditions""}]",{}
S0-U3,0,Stage 0,Student Organization & Work-Based Learning,2026-09-18,2026-09-25,4–5,Identical,All divisions — WBL intake and role assignment,"Students can explain DECA's purposes and structure, demonstrate leadership through participation, and identify the WBL opportunities available in this program.",Same — competencies 31–38 are identical across both courses.,"8175-31,8175-32,8175-33,8175-34,8175-35,8175-36,8175-37,8175-38","8177-31,8177-32,8177-33,8177-34,8177-35,8177-36,8177-37,8177-38","Distribution chain node, What students do, Role context, Work-based learning (WBL), Role charter, Acceptable use, Cooperative education",The WBL intake document feeds directly into the competency alignment log. Every role has a competency map attached to it.,What's the difference between doing a school project and doing real work? What makes something feel real?,,All divisions — WBL is the structure that holds everything together,"[{""term"": ""Distribution chain node"", ""definition"": ""You as a Professional""}, {""term"": ""What students do"", ""definition"": ""Students receive their division role assignment (or rotation schedule) and complete a WBL intake document: what is my role, what will I produce, how will I be evaluated, and how does my work connect to the conglomerate's goals?""}, {""term"": ""Role context"", ""definition"": ""This is the moment the class becomes a business. Role assignments happen here. The General Manager is identified. Division structures are announced.""}, {""term"": ""Work-based learning (WBL)"", ""definition"": ""A structured experience connecting classroom instruction to real workplace activities \u2014 in this program, your division role""}, {""term"": ""Role charter"", ""definition"": ""A document that defines a student's division role: function, responsibilities, deliverables, reporting structure, and competencies addressed""}, {""term"": ""Acceptable use"", ""definition"": ""The rules governing how students may use school technology resources \u2014 equipment in this program is professional tools, not personal devices""}, {""term"": ""Cooperative education"", ""definition"": ""The highest level of WBL \u2014 students apply skills in a real operational context with real outcomes and accountability""}]",{}
S1-U1,1,Stage 1,Industry Overview & Career Landscape,2026-09-25,2026-10-09,5–7,Parallel,Esports Division + all divisions — industry orientation before specialization,"Students can explain the importance, history, trends, and hospitality dimensions of the sports, entertainment, and event industries.","Students can define the role of the sports/entertainment/event manager, identify management traits, evaluate career opportunities, and analyze emerging events.","8175-44,8175-45,8175-46,8175-47","8177-39,8177-40,8177-41,8177-42,8177-43,8177-44,8177-45,8177-46,8177-47,8177-48","What students do, Sports, entertainment & events industry, Hospitality, Experience economy, Niche event, Stakeholder",Feeds the industry map from Stage 0 Card 2 with real data. Also anchors Stage 8 (synthesis) — students return to this map at the end of the year to see how their work fits.,"Name an organization in sports, entertainment, or events that didn't exist ten years ago. What made space for it? What does its existence tell you about where the industry is heading?",Industry / Producer — understanding who makes things in this world,"Organized, competitive video gaming — a rapidly growing segment that spans sports, entertainment, and events simultaneously","[{""term"": ""What students do"", ""definition"": ""Students research where esports and gaming sit within the broader sports and entertainment industry. They position the conglomerate \u2014 its school store, apparel production, media, and events \u2014 within the real industry landscape.""}, {""term"": ""Sports, entertainment & events industry"", ""definition"": ""Three overlapping segments \u2014 sports, entertainment, and events \u2014 that generate revenue through live and digital experiences""}, {""term"": ""Hospitality"", ""definition"": ""The practices and culture of making guests feel welcome, valued, and well-served \u2014 a core function of every live experience""}, {""term"": ""Experience economy"", ""definition"": ""A market shift where consumers pay for memorable experiences and identity affiliation, not just products or services""}, {""term"": ""Niche event"", ""definition"": ""A specialized event serving a specific audience or interest group \u2014 esports tournaments, cosplay conventions, and gaming expos are examples""}, {""term"": ""Stakeholder"", ""definition"": ""Anyone with an interest in or affected by an organization's decisions \u2014 players, sponsors, fans, school administration, and vendors are all stakeholders in this program""}]",{}
S1-U2,1,Stage 1,Business Structure & Organization,2026-10-09,2026-10-23,7–9,Parallel,All divisions — formal org chart and conglomerate structure decision,Students can explain what a business is in the sports/entertainment context and compare different types of business ownership.,Students can explore organizational structures within the industry and explain for-profit vs. nonprofit operation.,"8175-68,8175-69","8177-52,8177-53","What students do, Business ownership type, Organizational structure, Vertical integration, For-profit organization, Nonprofit organization",Directly informs the General Manager's role charter — specifically the decision-making authority and reporting structure. Also feeds Stage 3 (economics) where students examine how business structure affects financial outcomes.,Is the NFL a business? Is your school a business? Is a local youth sports league a business? What's the difference — and does the difference matter for how they operate?,Industry / Producer — who controls what moves through the chain,The VHSL esports team operates under the school's structure — but the school league is a conglomerate-run operation. Students clarify: who owns the league? Who is liable for it? How does that affect decisions?,"[{""term"": ""What students do"", ""definition"": ""Students examine the conglomerate's structure formally: is it organized correctly? Does the reporting structure make sense? Are the divisions the right size? This is a management design exercise, not just a vocabulary lesson.""}, {""term"": ""Business ownership type"", ""definition"": ""The legal structure of a business \u2014 sole proprietorship, partnership, corporation, LLC, cooperative, or franchise \u2014 each with different liability and tax implications""}, {""term"": ""Organizational structure"", ""definition"": ""The system that defines how roles, responsibilities, and authority are distributed within an organization""}, {""term"": ""Vertical integration"", ""definition"": ""A business strategy where one organization controls multiple stages of its own supply chain""}, {""term"": ""For-profit organization"", ""definition"": ""A business that operates to generate revenue and return profit to owners or shareholders""}, {""term"": ""Nonprofit organization"", ""definition"": ""An organization that reinvests revenue into its mission rather than distributing profit \u2014 subject to different tax and regulatory rules""}]",{}
S1-U3,1,Stage 1,Entrepreneurship & Business Launch,2026-10-23,2026-11-06,9–11,8177 only,"All divisions — BMC exercise; 8177 leads, 8175 contributes customer/channel sections",No formal competency requirement — 8175 students contribute customer segment and value proposition sections of the BMC.,"Students can identify entrepreneurship opportunities, describe the entrepreneurial mindset, map a business using the Business Model Canvas, and explain how small businesses drive economic growth.",,"8177-54,8177-55,8177-56,8177-57","What students do, Entrepreneurship, Entrepreneurial mindset, Business Model Canvas (BMC), Value proposition, Revenue stream, Cost structure",Feeds directly into Stage 3 (market research) and Stage 4 (pricing) — the BMC cost structure and revenue streams are inputs to pricing decisions. Also establishes the vocabulary for the marketing plan in Stage 8.,"Has anyone in this room ever sold something — a service, a product, anything? What did you have to figure out before you could make the first sale?",Industry / Producer — who starts something new and how,"The school esports league gets its own BMC: who are the customers (players, spectators, school community), what is the value proposition (competition, entertainment, school pride), what are the revenue streams (merch, sponsorship, entry fees), what are the key resources (computers, league software, streaming equipment)?","[{""term"": ""What students do"", ""definition"": ""Students complete a Business Model Canvas for the conglomerate and then a simplified canvas for their own division. Management students lead the exercise; marketing students contribute the customer segment and value proposition sections from a marketing perspective.""}, {""term"": ""Entrepreneurship"", ""definition"": ""The process of identifying an opportunity, taking initiative, and building something new to create value \u2014 accepting risk in exchange for potential reward""}, {""term"": ""Entrepreneurial mindset"", ""definition"": ""A way of thinking that embraces opportunity, tolerates ambiguity, and biases toward action and iteration""}, {""term"": ""Business Model Canvas (BMC)"", ""definition"": ""A one-page strategic tool that maps the nine core elements of any business: customers, value, channels, relationships, revenue, resources, activities, partners, and costs""}, {""term"": ""Value proposition"", ""definition"": ""The specific benefit an organization delivers to its customers \u2014 what makes it worth choosing over alternatives""}, {""term"": ""Revenue stream"", ""definition"": ""A specific source of income for a business \u2014 ticket sales, merchandise, sponsorship, and custom orders are all distinct revenue streams""}, {""term"": ""Cost structure"", ""definition"": ""The fixed and variable costs required to operate a business \u2014 equipment, materials, labor, and overhead""}]",{}
S2-U1,2,Stage 2,"Branding, Licensing & Legal Foundations",2026-11-06,2026-11-20,11–13,Parallel,Creative Studio (primary) — brand identity guide begins here,"Students can explain branding, describe branding in sports/entertainment, explain product licensing and brand protection, and describe the rebranding process.","Students can identify ethical issues, investigate social/environmental concerns, explain licensing purposes, and describe how legal requirements shape operations.","8175-56,8175-57,8175-58,8175-59","8177-63,8177-64,8177-69,8177-70,8177-71,8177-72,8177-73,8177-74,8177-75,8177-76","What students do, Trademark, Licensing, Brand protection, Rebranding, ADA (Americans with Disabilities Act), Trade dress","Every subsequent division deliverable — jerseys, signage, social content, event materials — flows from the brand identity established here. Stage 7 (Promotion) and Stage 8 (Synthesis) both reference the brand standards created in this unit.","Think of a brand that has been through a major rebrand — a team that changed its name, a company that updated its logo, or an artist that reinvented their image. Did it work? How do you know?","Product — in this industry, the brand IS the product",The VHSL esports team has an existing identity framework governed by VHSL licensing rules. Students research what is permitted — can they use the school name? The VHSL mark? What requires approval? This is a real legal question with real consequences for jersey production.,"[{""term"": ""What students do"", ""definition"": ""Students in Creative Studio develop the conglomerate brand identity: name, logo, color palette, typography, and brand voice. This is not a design exercise in isolation \u2014 it is done with reference to licensing rules, trademark basics, and the ethical framework that governs what the brand can claim.""}, {""term"": ""Trademark"", ""definition"": ""A legally registered symbol, name, or phrase that identifies and distinguishes a brand and gives its owner exclusive use rights""}, {""term"": ""Licensing"", ""definition"": ""A legal agreement permitting one party to use another's brand elements (name, logo, likeness) in exchange for a royalty or fee""}, {""term"": ""Brand protection"", ""definition"": ""The legal and strategic measures taken to prevent unauthorized use of a brand's identity \u2014 trademarks, copyrights, and enforcement""}, {""term"": ""Rebranding"", ""definition"": ""A strategic decision to change how an organization presents itself \u2014 driven by audience shifts, reputation issues, or organizational evolution""}, {""term"": ""ADA (Americans with Disabilities Act)"", ""definition"": ""Federal law requiring public accommodations \u2014 including events \u2014 to be accessible to people with disabilities""}, {""term"": ""Trade dress"", ""definition"": ""The visual characteristics of a product or brand (color, shape, packaging) that identify its source \u2014 protectable like a trademark""}]",{}
S2-U2,2,Stage 2,Product Development & Market Positioning,2026-11-20,2026-12-04,13–15,8175 only,Creative Studio + Apparel & Merch Co. + School Store — first product catalog,"Students can explain product/service planning, the product life cycle, market research role, primary research survey design, product positioning, and uncontrollable factors.",Task 74 contextual — external factors. 8177 students contribute as stakeholders reviewing product catalog feasibility.,"8175-60,8175-61,8175-62,8175-63,8175-64,8175-65",8177-74,"What students do, Product life cycle, Product positioning, Primary research, SKU (Stock Keeping Unit), Uncontrollable factors, Market research",The product catalog produced here feeds directly to the Wholesale & Sourcing Manager (who sources the blanks) and the Production Manager (who schedules fabrication). Stage 4 (Pricing) will use cost-of-goods data alongside this catalog.,"A local sports team adds a new jersey to its merchandise line. It sells out immediately. Six months later, a competing product from a national brand arrives at the same price point. What does the team do next — and who decides?","Product — what does the conglomerate actually make, and where does it sit in the market?","Esports merchandise is the first product development challenge: what does a school esports fan want to buy? Students survey the student body, analyze results, and use findings to select the first three SKUs for the Apparel & Merch production line.","[{""term"": ""What students do"", ""definition"": ""Marketing Advisor rotation students produce the first product catalog \u2014 a structured SKU list with positioning statements for each item. What does the school store carry? What custom items does Apparel & Merch produce? What are the product tiers (standard vs. premium)? Students back every product decision with market research data from a school community survey.""}, {""term"": ""Product life cycle"", ""definition"": ""The four stages a product moves through from launch to obsolescence: introduction, growth, maturity, and decline \u2014 each requiring a different strategy""}, {""term"": ""Product positioning"", ""definition"": ""How an organization differentiates its product in the minds of its target audience relative to competitors or alternatives""}, {""term"": ""Primary research"", ""definition"": ""Original data collected directly from a target audience through surveys, interviews, or observation \u2014 as opposed to secondary research using existing data""}, {""term"": ""SKU (Stock Keeping Unit)"", ""definition"": ""A unique identifier for a specific product variant \u2014 a particular shirt design in a particular color and size is a distinct SKU""}, {""term"": ""Uncontrollable factors"", ""definition"": ""External forces \u2014 economic conditions, weather, competition, regulation, technology \u2014 that affect business decisions but cannot be controlled by the organization""}, {""term"": ""Market research"", ""definition"": ""The systematic process of gathering, analyzing, and interpreting information about a market \u2014 its customers, competitors, and conditions""}]",{}
S3-U1,3,Stage 3,"Economics of Sports, Entertainment & Events",2026-12-04,2026-12-18,15–17,Parallel,Wholesale & Sourcing Manager (primary) — first purchase order context,"Students can explain economic concepts, how the business cycle affects the industry, supply and demand, and competition in the sports/entertainment marketplace.","Students can analyze U.S. economic indicators, examine how sports/events affect local economies, and identify global cultural and political economic factors.","8175-98,8175-99,8175-100,8175-101","8177-49,8177-50,8177-51","What students do, Supply and demand, Business cycle, Opportunity cost, Economic indicator, Direct competition, Economic impact, Consumer confidence","Feeds directly into Stage 4 (Pricing) — economic conditions determine what price points are viable. Also feeds the marketing plan in Stage 8, which requires a market environment analysis as a standard component.","A major esports tournament gets cancelled due to an economic downturn — sponsors pull out, ticket sales collapse, and the streaming deal falls through. Walk backwards: what economic force triggered each of those failures, and in what order?",Market conditions — the economic environment the supply chain operates inside,"The school esports league is analyzed as an economic entity: what is its potential revenue impact on the school store? How does competition from other entertainment options (sports seasons, school events) affect attendance and viewership? Students build a simple economic impact projection for the league's first season.","[{""term"": ""What students do"", ""definition"": ""Before placing the first purchase order, the Wholesale Manager conducts an economic environment check: what is the current cost of raw materials? Has inflation affected blank garment pricing? What is the school community's spending capacity? This unit gives students the vocabulary and framework for that analysis.""}, {""term"": ""Supply and demand"", ""definition"": ""The economic relationship between how much of a product is available (supply) and how much consumers want at a given price (demand) \u2014 their intersection determines market price""}, {""term"": ""Business cycle"", ""definition"": ""The recurring pattern of economic expansion, peak, contraction, and trough that affects consumer spending, sponsorship, and business investment across all industries""}, {""term"": ""Opportunity cost"", ""definition"": ""The value of the best alternative foregone when a decision is made \u2014 printing jerseys means the heat press is unavailable for other orders during that time""}, {""term"": ""Economic indicator"", ""definition"": ""A measurable statistic that reflects current or future economic conditions \u2014 GDP, unemployment rate, and consumer confidence index are examples""}, {""term"": ""Direct competition"", ""definition"": ""Other organizations offering the same or similar product to the same customer \u2014 another school's merchandise store competing for the same student spending""}, {""term"": ""Economic impact"", ""definition"": ""The measurable effect of an event or organization on the local or regional economy \u2014 spending, employment, and tax revenue generated""}, {""term"": ""Consumer confidence"", ""definition"": ""A measure of how optimistic consumers feel about the economy and their own financial situation \u2014 directly affects discretionary spending on entertainment and merchandise""}]",{}
S3-U2,3,Stage 3,Market Research,2027-01-05,2027-01-22,18–20 (post-break),Complementary,Marketing Advisor rotation leads — research handed to Wholesale Manager and League Manager,"Students can describe the role of market research, create a primary research survey, and explain research's importance in developing a marketing plan.","Students can explain market research applications, identify data sources, develop a market segmentation analysis, design a full research project, and evaluate results.","8175-62,8175-63,8175-103","8177-77,8177-78,8177-79,8177-80,8177-81,8177-82,8177-83,8177-84","What students do, Market research, Market segmentation, Primary research, Secondary research, Price sensitivity, Data triangulation, Recommendation",Research findings feed three downstream units simultaneously: Stage 4 (Pricing) uses price sensitivity data; Stage 7 (Promotion) uses segmentation data to target messaging; Stage 8 (Synthesis) uses the full research report as the market analysis section of the marketing plan.,The survey from Stage 2 is back. Look at the results. What surprised you? What confirmed what you already suspected? What question do you wish you had asked — and why does that missing answer matter?,Market conditions — reading the market before making chain decisions,League research: who in the school plays games? What titles? What would motivate them to join the school league or attend a match? What would they pay for a league jersey vs. a generic school shirt? This research directly shapes the league structure the League Manager is building in parallel.,"[{""term"": ""What students do"", ""definition"": ""Students conduct a full market research project on the school community as a consumer base. Segmentation analysis identifies which student groups are most likely to buy esports merchandise, attend events, or use the school store. Findings are presented to the full class and formally handed to the Wholesale Manager as sourcing guidance.""}, {""term"": ""Market research"", ""definition"": ""The systematic process of gathering, analyzing, and interpreting information about a market \u2014 its customers, competitors, and conditions \u2014 to support business decisions""}, {""term"": ""Market segmentation"", ""definition"": ""Dividing a broad target audience into distinct subgroups with shared characteristics \u2014 demographic, psychographic, behavioral, or geographic""}, {""term"": ""Primary research"", ""definition"": ""Original data collected directly from a target audience through surveys, interviews, observation, or experiments""}, {""term"": ""Secondary research"", ""definition"": ""Analysis of existing data collected by others \u2014 industry reports, government statistics, academic studies, and trade publications""}, {""term"": ""Price sensitivity"", ""definition"": ""How much consumer demand changes in response to price changes \u2014 highly price-sensitive audiences buy significantly less when prices rise""}, {""term"": ""Data triangulation"", ""definition"": ""Using multiple research methods or data sources to cross-validate findings \u2014 increases confidence that conclusions are accurate""}, {""term"": ""Recommendation"", ""definition"": ""An evidence-based action suggested by research findings \u2014 the research is only useful if it changes a decision""}]",{}
